"word","stateWD","lifespan","nsense","nchange","freqBand"
"adverse_v","non-obsolete words",631,1,1,3
"advert_v","non-obsolete words",599,4,6,4
"advertise_v","non-obsolete words",598,10,15,5
"advise_v","non-obsolete words",699,25,34,6
"advocate_v","non-obsolete words",495,5,7,6
"advoke_v","non-obsolete words",491,2,3,1
"adze_v","non-obsolete words",280,1,1,3
"aerate_v","non-obsolete words",240,4,4,4
"aerify_v","non-obsolete words",198,1,1,2
"aerobat_v","non-obsolete words",94,1,1,1
"aerobate_v","non-obsolete words",189,1,1,0
"aerobicize_v","non-obsolete words",42,1,1,2
"aerobrake_v","non-obsolete words",39,1,1,2
"aeroplane_v","non-obsolete words",118,2,2,3
"aerosol_v","non-obsolete words",60,2,2,4
"aerosolize_v","non-obsolete words",80,2,2,4
"aestheticize_v","non-obsolete words",160,2,2,4
"aestivate_v","non-obsolete words",401,2,2,3
"afear_v","non-obsolete words",470,2,3,1
"affect_v1","non-obsolete words",599,15,23,7
"affect_v2","non-obsolete words",599,6,9,6
"affection_v","non-obsolete words",479,1,1,3
"affectionate_v","non-obsolete words",459,2,3,2
"affeer_v","non-obsolete words",774,2,3,2
"affeir_v","non-obsolete words",609,1,1,1
"affiance_v","non-obsolete words",537,5,8,3
"affiche_v","non-obsolete words",642,2,2,3
"afficher_v","non-obsolete words",210,2,2,2
"affile_v2","non-obsolete words",512,1,1,2
"affiliate_v","non-obsolete words",401,10,12,5
"affine_v","non-obsolete words",551,2,3,3
"affirm_v","non-obsolete words",699,13,15,6
"affirmative_v","non-obsolete words",249,1,1,2
"affix_v","non-obsolete words",576,13,14,5
"afflate_v","non-obsolete words",549,1,1,1
"afflict_v","non-obsolete words",631,5,7,5
"afforce_v","non-obsolete words",724,6,10,2
"afford_v","non-obsolete words",799,11,14,6
"afforest_v","non-obsolete words",521,2,2,3
"affranchise_v","non-obsolete words",547,1,1,2
"affray_v","non-obsolete words",694,6,11,2
"affreight_v","non-obsolete words",206,2,3,1
"affricate_v","non-obsolete words",368,2,3,3
"affright_v","non-obsolete words",1224,2,3,4
"affrighten_v","non-obsolete words",409,1,1,2
"affront_v","non-obsolete words",694,8,12,4
"affuse_v","non-obsolete words",375,2,2,1
"aflame_v","non-obsolete words",401,1,1,2
"africanize_v","non-obsolete words",208,1,1,3
"afrikanderize_v","non-obsolete words",124,1,1,0
"afrikanerize_v","non-obsolete words",79,1,1,1
"after-chrome_v","non-obsolete words",134,1,1,1
"aftercool_v","non-obsolete words",124,1,1,2
"afterload_v","non-obsolete words",143,2,2,3
"again-say_v","non-obsolete words",642,3,5,0
"agatize_v","non-obsolete words",386,1,1,2
"age-date_v","non-obsolete words",57,1,1,2
"age-harden_v","non-obsolete words",103,1,1,2
"age_v","non-obsolete words",584,7,7,6
"agent_v","non-obsolete words",387,1,1,3
"agglomerate_v","non-obsolete words",392,4,5,4
"agglutinate_v","non-obsolete words",438,6,7,4
"agglutinize_v","non-obsolete words",209,1,1,2
"aggrade_v","non-obsolete words",131,1,1,3
"aggrandize_v","non-obsolete words",390,5,6,4
"aggravate_v","non-obsolete words",494,11,17,5
"aggrave_v","non-obsolete words",549,1,1,2
"aggregate_v","non-obsolete words",599,7,7,5
"aggress_v","non-obsolete words",454,4,5,4
"aggrieve_v","non-obsolete words",699,3,5,4
"aggroup_v","non-obsolete words",329,1,1,0
"aghast_v","non-obsolete words",148,1,1,1
"agist_v","non-obsolete words",574,4,5,2
"agitate_v","non-obsolete words",437,9,11,5
"agive_v","non-obsolete words",355,2,3,3
"agname_v","non-obsolete words",372,1,1,1
"agnize_v","non-obsolete words",489,6,10,2
"ago_v","non-obsolete words",749,5,8,5
"agonize_v","non-obsolete words",454,4,4,5
"agrarianize_v","non-obsolete words",186,2,2,1
"agree_v","non-obsolete words",611,34,45,7
"ague_v","non-obsolete words",388,1,1,2
"ah_v","non-obsolete words",188,2,2,3
"ahem_v","non-obsolete words",185,1,1,2
"ahoy_int","non-obsolete words",276,3,3,3
"aid_v","non-obsolete words",574,3,3,6
"ail_v","non-obsolete words",699,10,11,5
"aim_v","non-obsolete words",649,18,22,6
"air-burst_v","non-obsolete words",78,1,1,3
"air-condition_v","non-obsolete words",87,1,1,4
"air-cool_v","non-obsolete words",115,1,1,4
"air-cure_v","non-obsolete words",156,1,1,3
"air-dry_v","non-obsolete words",150,1,1,4
"air-express_v","non-obsolete words",89,1,1,2
"air-freight_v","non-obsolete words",81,1,1,3
"air-guitar_v","non-obsolete words",41,2,2,2
"air-harden_v","non-obsolete words",94,1,1,2
"air-kiss_v","non-obsolete words",49,1,1,2
"air-layer_v","non-obsolete words",89,1,1,3
"air-mark_v","non-obsolete words",95,1,1,2
"air-seal_v","non-obsolete words",140,1,1,2
"air-season_v","non-obsolete words",107,1,1,2
"air-speed_v","non-obsolete words",65,1,1,3
"air_v","non-obsolete words",494,12,15,6
"airbrush_v","non-obsolete words",112,1,1,4
"airdash_v","non-obsolete words",56,1,1,1
"airdrop_v","non-obsolete words",76,1,1,3
"airland_v","non-obsolete words",83,1,1,3
"airlift_v","non-obsolete words",76,1,1,4
"airmail_v","non-obsolete words",105,2,2,3
"airt_v","non-obsolete words",242,2,2,2
"akele_v","non-obsolete words",644,3,5,1
"al-fresco_v","non-obsolete words",202,1,1,1
"alacrify_v","non-obsolete words",160,1,1,0
"aladdinize_v","non-obsolete words",176,1,1,0
"alarm_v","non-obsolete words",539,12,16,5
"albify_v","non-obsolete words",425,1,1,0
"albitize_v","non-obsolete words",115,1,1,2
"albumenize_v","non-obsolete words",177,2,3,1
"alchemize_v","non-obsolete words",430,2,3,2
"alchemy_v","non-obsolete words",409,1,1,3
"alcoholize_v","non-obsolete words",354,3,5,2
"alembic_v","non-obsolete words",389,1,1,1
"alembicate_v","non-obsolete words",397,1,1,1
"alert_v","non-obsolete words",164,1,1,5
"alexander_v1","non-obsolete words",358,1,1,3
"algebraicize_v","non-obsolete words",139,1,1,1
"algebraize_v","non-obsolete words",199,2,2,2
"alias_v","non-obsolete words",234,2,2,4
"alibi_v","non-obsolete words",200,4,5,4
"alien_v","non-obsolete words",674,4,6,4
"alienate_v","non-obsolete words",549,4,5,5
"alienize_v","non-obsolete words",431,1,1,2
"alight_v1","non-obsolete words",849,11,16,5
"alight_v2","non-obsolete words",1224,2,2,3
"alighten_v2","non-obsolete words",494,2,3,1
"align_v","non-obsolete words",599,9,11,6
"aliment_v","non-obsolete words",534,3,3,3
"aliquot_v","non-obsolete words",151,1,1,4
"alkali_v","non-obsolete words",175,2,3,3
"alkalify_v","non-obsolete words",234,2,2,1
"alkalinize_v","non-obsolete words",224,1,1,3
"alkalize_v","non-obsolete words",358,1,1,3
"alkylate_v","non-obsolete words",136,1,1,3
"all-hail_v","non-obsolete words",426,1,1,2
"allaborate_v","non-obsolete words",368,1,1,0
"allatectomize_v","non-obsolete words",81,1,1,2
"allay_v1","non-obsolete words",799,16,26,5
"allay_v4","non-obsolete words",549,1,1,1
"allegate_v","non-obsolete words",599,1,1,2
"allege_v1","non-obsolete words",724,10,14,6
"allegorize_v","non-obsolete words",568,3,3,4
"allegory_v","non-obsolete words",450,1,1,3
"allemande_v","non-obsolete words",254,3,3,3
