"word","stateWD","lifespan","nsense","nchange","freqBand"
"compere_v","non-obsolete words",91,1,1,1
"compesce_v","non-obsolete words",594,1,1,1
"compete_v2","non-obsolete words",404,3,3,6
"compile_v","non-obsolete words",637,11,18,6
"complain_v","non-obsolete words",650,17,25,6
"complect_v","non-obsolete words",501,2,3,3
"complement_v","non-obsolete words",407,6,11,5
"complete_v","non-obsolete words",494,9,10,6
"complex_v","non-obsolete words",554,5,7,4
"complexify_v","non-obsolete words",194,2,2,3
"complexion_v","non-obsolete words",611,2,3,3
"complicate_v","non-obsolete words",403,6,9,6
"compliment_v","non-obsolete words",361,7,8,5
"complot_v","non-obsolete words",445,2,2,3
"comply_v1","non-obsolete words",420,18,34,6
"compo_v","non-obsolete words",215,1,1,3
"comport_v","non-obsolete words",459,11,20,4
"compose_v","non-obsolete words",547,30,37,6
"composite_v","non-obsolete words",62,1,1,4
"compost_v","non-obsolete words",525,2,2,4
"compound_v","non-obsolete words",650,29,37,5
"comprehend_v","non-obsolete words",684,20,27,5
"comprehensivize_v","non-obsolete words",66,1,1,0
"compress_v","non-obsolete words",626,12,14,5
"comprise_v","non-obsolete words",601,23,31,6
"compromise_v","non-obsolete words",426,8,12,6
"compromit_v","non-obsolete words",583,9,17,2
"compulse_v","non-obsolete words",549,2,3,2
"computate_v","non-obsolete words",575,1,1,2
"compute_v","non-obsolete words",445,9,13,6
"computer-process_v","non-obsolete words",67,1,1,3
"computerize_v","non-obsolete words",64,1,1,4
"comrade_v","non-obsolete words",422,1,1,4
"con-domesticate_v","non-obsolete words",183,1,1,0
"con_v1","non-obsolete words",689,7,11,5
"con_v2","non-obsolete words",398,3,3,3
"con_v3","non-obsolete words",303,1,1,2
"con_v5","non-obsolete words",128,1,1,3
"conacre_v","non-obsolete words",185,1,1,1
"concamerate_v","non-obsolete words",413,2,3,1
"concatenate_v","non-obsolete words",402,1,1,4
"concave_v","non-obsolete words",372,1,1,3
"conceal_v","non-obsolete words",631,6,7,6
"concede_v","non-obsolete words",511,7,7,6
"conceit_v","non-obsolete words",467,10,16,4
"conceive_v","non-obsolete words",684,30,40,6
"concelebrate_v","non-obsolete words",451,4,6,3
"concentrate_v","non-obsolete words",396,10,10,6
"concentre_v","non-obsolete words",426,9,12,3
"concept_v","non-obsolete words",421,1,1,4
"conceptualize_v","non-obsolete words",151,2,2,5
"concern_v","non-obsolete words",624,20,28,7
"concert_v","non-obsolete words",443,8,13,5
"concertina_v","non-obsolete words",133,2,2,3
"concertize_v","non-obsolete words",184,2,2,3
"conche_v","non-obsolete words",100,1,1,3
"conchologize_v","non-obsolete words",169,1,1,0
"conciliate_v","non-obsolete words",479,11,14,4
"concinnate_v","non-obsolete words",423,1,1,1
"conclimate_v","non-obsolete words",160,1,1,0
"conclude_v","non-obsolete words",650,28,46,6
"concoct_v","non-obsolete words",491,17,32,5
"concord_v","non-obsolete words",650,6,9,3
"concordance_v","non-obsolete words",136,1,1,2
"concorporate_v","non-obsolete words",472,3,4,1
"concreate_v","non-obsolete words",389,1,1,2
"concrete_v","non-obsolete words",389,8,9,4
"concretize_v","non-obsolete words",140,1,1,4
"concrucify_v","non-obsolete words",152,1,1,0
"concubine_v","non-obsolete words",428,2,3,2
"concur_v","non-obsolete words",502,13,20,5
"concuss_v","non-obsolete words",421,4,4,3
"cond_v","non-obsolete words",564,3,4,4
"condemn_v","non-obsolete words",684,15,16,6
"condemnate_v","non-obsolete words",158,1,1,1
"condensate_v","non-obsolete words",469,4,5,4
"condense_v","non-obsolete words",547,10,10,5
"condescend_v","non-obsolete words",684,25,47,5
"condiddle_v","non-obsolete words",278,1,1,1
"condition_v","non-obsolete words",511,15,16,6
"conditionalize_v","non-obsolete words",248,1,1,3
"conditionate_v","non-obsolete words",491,4,6,2
"condole_v","non-obsolete words",436,7,11,4
"condomize_v","non-obsolete words",46,1,1,0
"condone_v","non-obsolete words",173,4,4,5
"conduce_v","non-obsolete words",549,12,20,4
"conduct_v","non-obsolete words",624,18,24,6
"cone_v1","non-obsolete words",136,2,2,4
"coney-catch_v","non-obsolete words",432,2,2,1
"confab_v","non-obsolete words",283,1,1,3
"confabulate_v","non-obsolete words",420,2,2,3
"confect_v","non-obsolete words",484,5,9,3
"confection_v","non-obsolete words",483,3,3,2
"confederate_v","non-obsolete words",493,6,7,4
"confer_v","non-obsolete words",496,17,29,6
"conference_v","non-obsolete words",178,2,2,4
"conferencize_v","non-obsolete words",191,1,1,0
"conferruminate_v","non-obsolete words",198,1,1,1
"confess_v","non-obsolete words",647,20,21,6
"confessionalize_v","non-obsolete words",164,1,1,2
"confide_v","non-obsolete words",499,6,6,5
"confidence_v","non-obsolete words",149,1,1,2
"configurate_v","non-obsolete words",458,4,7,3
"configure_v","non-obsolete words",642,5,6,5
"confine_v","non-obsolete words",501,13,18,6
"confirm_v","non-obsolete words",734,15,21,6
"confiscate_v","non-obsolete words",491,5,8,5
"confix_v","non-obsolete words",408,1,1,2
"conflagrate_v","non-obsolete words",367,2,2,2
"conflate_v","non-obsolete words",441,3,4,4
"conflict_v","non-obsolete words",549,6,8,6
"conform_v","non-obsolete words",684,11,16,6
"confound_v","non-obsolete words",734,14,19,5
"confront_v","non-obsolete words",456,11,14,6
"confuddle_v","non-obsolete words",166,1,1,0
"confuse_v","non-obsolete words",694,7,8,6
"confusticate_v","non-obsolete words",133,1,1,0
"confute_v","non-obsolete words",495,5,6,4
"conga_v","non-obsolete words",83,1,1,3
"conge_v","non-obsolete words",694,4,6,1
"congeal_v","non-obsolete words",640,12,16,4
"congenerate_v","non-obsolete words",413,2,2,1
"congenialize_v","non-obsolete words",210,2,2,1
"congerminate_v","non-obsolete words",202,1,1,0
"congest_v","non-obsolete words",472,2,3,3
"conglobate_v","non-obsolete words",389,2,2,2
"conglobe_v","non-obsolete words",489,2,2,2
"conglobulate_v","non-obsolete words",233,1,1,1
"conglomerate_v","non-obsolete words",428,4,6,4
"conglutinate_v","non-obsolete words",478,4,5,2
"congratulate_v","non-obsolete words",476,11,19,5
"congregate_v","non-obsolete words",624,5,7,5
"congregationalize_v","non-obsolete words",158,1,1,1
"congress_v","non-obsolete words",174,2,2,2
"coninquinate_v","non-obsolete words",415,1,1,0
"conjecture_v","non-obsolete words",640,7,10,5
"conjobble_v","non-obsolete words",332,1,1,0
"conjoin_v","non-obsolete words",650,10,15,4
"conjugalize_v","non-obsolete words",201,1,1,0
"conjugate_v","non-obsolete words",494,5,5,4
"conjure_v","non-obsolete words",734,15,20,5
"conk_v1","non-obsolete words",203,1,1,2
"conk_v2","non-obsolete words",107,1,1,4
"connaturalize_v","non-obsolete words",356,1,1,1
"connect_v","non-obsolete words",487,11,11,6
"connive_v","non-obsolete words",422,11,19,4
"connoisseur_v","non-obsolete words",196,1,1,0
"connote_v","non-obsolete words",368,6,8,5
"connubialize_v","non-obsolete words",154,1,1,0
"connubiate_v","non-obsolete words",210,1,1,1
"connumerate_v","non-obsolete words",346,1,1,1
"conquer_v","non-obsolete words",794,11,14,6
"conscientize_v","non-obsolete words",55,1,1,3
"conscribe_v","non-obsolete words",537,6,9,2
"conscript_v","non-obsolete words",211,1,1,4
"consecrate_v","non-obsolete words",637,12,15,5
"consent_v","non-obsolete words",799,13,21,5
"conservate_v","non-obsolete words",377,1,1,2
"conservatize_v","non-obsolete words",160,2,2,2
"conserve_v","non-obsolete words",626,14,15,5
"consider_v","non-obsolete words",639,16,20,7
"consign_v","non-obsolete words",594,15,26,5
"consignify_v","non-obsolete words",378,1,1,2
"consist_v","non-obsolete words",498,18,31,7
"consociate_v","non-obsolete words",458,4,4,3
"console_v","non-obsolete words",331,1,1,5
"consolidate_v","non-obsolete words",513,13,16,6
"consonantize_v","non-obsolete words",147,1,1,1
"consonate_v","non-obsolete words",142,1,1,2
"consone_v","non-obsolete words",151,1,1,1
"consort_v","non-obsolete words",436,10,14,4
"conspire_v","non-obsolete words",662,11,15,5
"conspue_v","non-obsolete words",134,1,1,1
"constate_v","non-obsolete words",251,1,1,4
"constellate_v","non-obsolete words",413,7,10,3
"constellize_v","non-obsolete words",158,1,1,0
"constern_v","non-obsolete words",185,1,1,1
"consternate_v","non-obsolete words",373,1,1,2
"constipate_v","non-obsolete words",483,3,5,4
"constitute_v","non-obsolete words",547,13,19,6
"constitutionalize_v","non-obsolete words",193,2,2,3
"constrain_v","non-obsolete words",684,19,28,6
"constrict_v","non-obsolete words",292,2,2,5
"constringe_v","non-obsolete words",420,4,4,2
"construct_v","non-obsolete words",414,7,8,6
"construe_v","non-obsolete words",662,16,20,5
"consubsist_v","non-obsolete words",261,1,1,0
"consubstantialize_v","non-obsolete words",186,1,1,0
"consubstantiate_v","non-obsolete words",427,3,4,2
"consult_v","non-obsolete words",476,13,17,6
"consume_v1","non-obsolete words",626,19,26,6
"consummate_v","non-obsolete words",499,6,7,5
"contact_v","non-obsolete words",190,3,3,6
"contain_v","non-obsolete words",734,32,54,7
"containerize_v","non-obsolete words",62,1,1,3
"contaminate_v","non-obsolete words",461,2,2,5
"contango_v","non-obsolete words",124,1,1,2
"contemn_v","non-obsolete words",599,3,3,4
"contemper_v","non-obsolete words",457,3,5,1
"contemplate_v","non-obsolete words",491,9,10,6
"contemporize_v","non-obsolete words",381,3,4,3
"contempt_v","non-obsolete words",469,1,1,3
"contend_v","non-obsolete words",506,10,12,6
"content_v","non-obsolete words",606,9,15,6
"contest_v","non-obsolete words",445,13,18,6
"contextualize_v","non-obsolete words",90,1,1,4
"contexture_v","non-obsolete words",191,1,1,1
"continental_v","non-obsolete words",159,1,1,2
"continentalize_v","non-obsolete words",169,2,2,2
"continue_v","non-obsolete words",684,19,24,7
"contort_v","non-obsolete words",457,2,3,4
"contour-plough_v","non-obsolete words",83,1,1,2
"contour_v","non-obsolete words",153,2,2,4
"contoxicate_v","non-obsolete words",370,1,1,0
"contra-indicate_v","non-obsolete words",257,1,1,3
"contra-vote_v","non-obsolete words",207,1,1,0
"contraband_v1","non-obsolete words",409,3,5,2
"contract_v","non-obsolete words",494,27,32,6
"contradict_v","non-obsolete words",442,6,9,5
"contradiscriminate_v","non-obsolete words",168,1,1,0
"contradistinguish_v","non-obsolete words",402,2,2,3
"contrapone_v","non-obsolete words",160,1,1,2
"contrapose_v","non-obsolete words",407,1,1,3
"contraposit_v","non-obsolete words",144,1,1,1
"contrast_v","non-obsolete words",535,9,11,6
"contraveer_v","non-obsolete words",232,1,1,0
"contravene_v","non-obsolete words",457,4,5,5
"contravindicate_v","non-obsolete words",144,1,1,0
"contribute_v","non-obsolete words",494,8,10,6
"contrist_v","non-obsolete words",534,1,1,1
"contrive_v1","non-obsolete words",694,10,15,5
"control_v","non-obsolete words",602,13,20,7
"controverse_v","non-obsolete words",537,4,6,3
"controversialize_v","non-obsolete words",183,1,1,0
"controversy_v","non-obsolete words",431,1,1,3
"controvert_v","non-obsolete words",461,6,7,4
"contund_v","non-obsolete words",425,2,3,1
"contuse_v","non-obsolete words",483,2,3,3
"contusion_v","non-obsolete words",153,1,1,3
"conundrumize_v","non-obsolete words",188,1,1,0
"convalesce_v","non-obsolete words",541,3,4,4
"convalidate_v","non-obsolete words",368,1,1,2
"convanesce_v","non-obsolete words",173,1,1,0
"convect_v","non-obsolete words",71,2,2,4
"convene_v","non-obsolete words",595,12,17,5
"convenience_v","non-obsolete words",394,1,1,3
"convent_v","non-obsolete words",564,7,13,0
"conventionalize_v","non-obsolete words",194,2,2,4
"converge_v","non-obsolete words",333,4,4,5
"conversate_v","non-obsolete words",450,2,3,2
"conversation_v","non-obsolete words",194,1,1,2
"conversationize_v","non-obsolete words",198,1,1,0
"converse_v","non-obsolete words",684,12,20,5
"convert_v","non-obsolete words",684,36,55,6
"convex_v","non-obsolete words",219,2,2,3
"convey_v1","non-obsolete words",649,24,43,6
"conveyance_v","non-obsolete words",150,1,1,3
"conveyorize_v","non-obsolete words",81,1,1,2
"convict_v","non-obsolete words",658,11,16,6
"convince_v","non-obsolete words",494,18,31,6
"convivialize_v","non-obsolete words",187,1,1,0
"convocate_v","non-obsolete words",482,3,5,2
"convoke_v","non-obsolete words",426,1,1,4
"convolute_v","non-obsolete words",326,3,4,4
"convolve_v","non-obsolete words",423,5,7,4
"convoy_v","non-obsolete words",619,9,12,4
"convulse_v","non-obsolete words",381,5,6,4
"coo_v","non-obsolete words",352,6,6,4
"cooee_v","non-obsolete words",197,1,1,1
"cook_v1","non-obsolete words",624,15,15,6
"cook_v2","non-obsolete words",238,2,3,3
"cool_v1","non-obsolete words",694,15,17,6
"coom_v","non-obsolete words",418,2,3,2
"coonjine_n","non-obsolete words",128,1,1,1
"coop_v1","non-obsolete words",454,8,11,4
"cooper_v","non-obsolete words",278,5,5,3
"cooperate_v","non-obsolete words",442,3,3,5
"cooperativize_v","non-obsolete words",97,1,1,0
"coorie_v","non-obsolete words",145,2,2,2
"coot_v1","non-obsolete words",357,1,1,1
"coot_v2","non-obsolete words",132,1,1,2
"cooze_v","non-obsolete words",214,2,3,1
"cop_v1","non-obsolete words",472,2,2,3
"cop_v2","non-obsolete words",218,1,1,2
"cop_v3","non-obsolete words",320,11,11,4
"cop_v4","non-obsolete words",155,2,2,2
"cope_v1","non-obsolete words",662,7,7,5
"cope_v2","non-obsolete words",674,11,17,6
"cope_v3","non-obsolete words",454,4,6,3
"cope_v4","non-obsolete words",449,1,1,3
"cope_v5","non-obsolete words",456,1,1,3
"copernicize_v","non-obsolete words",215,1,1,0
"copolymerize_v","non-obsolete words",84,1,1,3
"copper-bottom_v","non-obsolete words",184,1,1,2
"copper_v1","non-obsolete words",494,4,4,3
"copper_v2","non-obsolete words",152,2,2,2
"copperize_v","non-obsolete words",131,1,1,2
"copperplate_v","non-obsolete words",202,1,1,4
"coppice_v","non-obsolete words",472,2,2,3
"copse_v1","non-obsolete words",407,1,1,2
"copse_v2","non-obsolete words",449,2,2,2
"copulate_v","non-obsolete words",392,3,5,4
"copy-edit_v","non-obsolete words",71,1,1,3
"copy-fit_v","non-obsolete words",76,1,1,2
"copy-read_v","non-obsolete words",79,1,1,0
"copy-type_v","non-obsolete words",68,1,1,0
"copy_v1","non-obsolete words",637,8,9,6
"copycat_v","non-obsolete words",92,1,1,2
"copygraph_v","non-obsolete words",124,1,1,1
"copyright_v","non-obsolete words",146,1,1,5
"coquet_v","non-obsolete words",324,6,7,3
"coral_v","non-obsolete words",376,1,1,2
"corallize_v","non-obsolete words",134,1,1,0
"corbel_v","non-obsolete words",165,2,2,4
"cord_v1","non-obsolete words",594,5,5,4
"cordelle_v","non-obsolete words",212,1,1,2
"cordialize_v","non-obsolete words",384,4,5,1
"cordon_v","non-obsolete words",463,3,5,4
"corduroy_v","non-obsolete words",162,2,2,3
"core_v","non-obsolete words",427,6,8,4
"corinthianize_v","non-obsolete words",214,1,1,2
"cork_v1","non-obsolete words",444,5,7,4
"cork_v3","non-obsolete words",340,1,1,2
"cork_v4","non-obsolete words",248,1,1,2
"corkscrew_v","non-obsolete words",187,5,5,3
"corn-law_v","non-obsolete words",181,1,1,2
"corn_v","non-obsolete words",568,8,11,4
"corner-flag_v","non-obsolete words",62,1,1,1
"corner_v","non-obsolete words",637,11,11,5
"cornhole_v","non-obsolete words",104,1,1,0
"cornice_v","non-obsolete words",280,1,1,3
"cornify_v","non-obsolete words",413,2,3,3
"cornute_v","non-obsolete words",427,2,2,2
"corollarize_v","non-obsolete words",158,1,1,0
"coronate_v","non-obsolete words",401,1,1,2
"coronet_v","non-obsolete words",211,1,1,2
"corporate_v","non-obsolete words",626,4,7,3
"corporatize_v","non-obsolete words",114,2,2,3
"corporealize_v","non-obsolete words",191,1,1,2
"corpse_v","non-obsolete words",165,3,3,3
"corrade_v","non-obsolete words",404,2,3,2
"corradiate_v","non-obsolete words",224,1,1,0
"corral_v","non-obsolete words",178,4,4,5
"correct_v","non-obsolete words",684,13,16,6
"correlate_v","non-obsolete words",282,4,4,6
"correspond_v","non-obsolete words",495,11,18,6
"corroborate_v","non-obsolete words",494,8,12,5
"corroboree_v","non-obsolete words",194,1,1,2
"corrode_v","non-obsolete words",624,8,10,5
"corrugate_v","non-obsolete words",404,2,2,4
"corrupt_v","non-obsolete words",642,15,19,5
"corset_v","non-obsolete words",89,1,1,3
"corslet_v","non-obsolete words",399,1,1,1
"coruscate_v","non-obsolete words",319,2,2,3
"cose_v","non-obsolete words",167,1,1,4
"cosh_v","non-obsolete words",102,1,1,2
"cosher_v1","non-obsolete words",390,1,1,1
"cosher_v2","non-obsolete words",163,1,1,1
"cosher_v3","non-obsolete words",191,1,1,1
"coslettize_v","non-obsolete words",116,1,1,1
"cosmetic_v","non-obsolete words",127,1,1,4
"cosmeticize_v","non-obsolete words",200,1,1,2
"cosmize_v","non-obsolete words",140,1,1,0
"cosmogonize_v","non-obsolete words",161,1,1,0
"cosmographize_v","non-obsolete words",432,1,1,0
"cosmopolitanize_v","non-obsolete words",148,1,1,2
"coss_v","non-obsolete words",541,1,1,2
"cosset_v","non-obsolete words",365,2,2,3
"cost-account_v","non-obsolete words",110,1,1,3
"cost_v","non-obsolete words",640,8,10,6
"costean_v","non-obsolete words",185,1,1,1
"costume_v","non-obsolete words",222,1,1,3
"cosy_v","non-obsolete words",126,3,4,4
"cot_v1","non-obsolete words",220,2,2,3
"cot_v2","non-obsolete words",148,1,1,3
"cot_v3","non-obsolete words",288,1,1,3
"cotch_v","non-obsolete words",129,4,4,3
"cote_v1","non-obsolete words",469,2,2,2
"cote_v2","non-obsolete words",394,1,1,2
"coterie_v","non-obsolete words",218,1,1,2
"cothe_v","non-obsolete words",457,2,2,2
"cotillion_v","non-obsolete words",191,1,1,2
"cotise_v","non-obsolete words",452,1,1,2
"cottage_v","non-obsolete words",176,2,2,3
"cotter_v1","non-obsolete words",375,1,1,2
"cotter_v2","non-obsolete words",243,4,4,3
"cotterel_v","non-obsolete words",277,1,1,1
"cotton-wool_v","non-obsolete words",167,1,1,1
"cotton_v1","non-obsolete words",536,11,13,4
"cotton_v2","non-obsolete words",370,1,1,1
"cottonize_v","non-obsolete words",173,1,1,1
"couch-surf_v","non-obsolete words",35,2,2,1
"couch_v1","non-obsolete words",694,36,58,5
"couch_v2","non-obsolete words",178,1,1,1
"coue_v","non-obsolete words",100,1,1,1
"cough_v1","non-obsolete words",699,13,15,5
"coul_v","non-obsolete words",213,1,1,3
"coulda_v","non-obsolete words",418,1,1,4
"counsel_v","non-obsolete words",734,8,11,6
"count_v","non-obsolete words",637,28,35,6
"countenance_v","non-obsolete words",538,8,14,5
"counter-advise_v","non-obsolete words",337,1,1,0
"counter-affirm_v","non-obsolete words",413,1,1,0
"counter-ambush_v","non-obsolete words",343,1,1,0
"counter-arch_v","non-obsolete words",239,1,1,1
"counter-argue_v","non-obsolete words",363,1,1,2
"counter-attack_v","non-obsolete words",108,1,1,4
"counter-band_v","non-obsolete words",376,1,1,0
"counter-batter_v","non-obsolete words",145,1,1,1
"counter-beat_v","non-obsolete words",413,1,1,0
"counter-bore_v","non-obsolete words",413,1,1,0
"counter-brace_v","non-obsolete words",157,1,1,2
"counter-brand_v","non-obsolete words",164,1,1,1
"counter-cross_v","non-obsolete words",413,1,1,0
"counter-dance_v","non-obsolete words",175,1,1,0
"counter-dash_v","non-obsolete words",413,1,1,0
"counter-dig_v","non-obsolete words",375,1,1,0
"counter-disengage_v","non-obsolete words",135,1,1,0
"counter-enamel_v","non-obsolete words",149,1,1,1
"counter-etch_v","non-obsolete words",100,1,1,2
"counter-extend_v","non-obsolete words",368,1,1,1
"counter-fire_v","non-obsolete words",129,1,1,1
"counter-fix_v","non-obsolete words",428,1,1,0
"counter-gabion_n","non-obsolete words",413,1,1,0
"counter-garrison_v","non-obsolete words",501,1,1,0
"counter-gauge_v","non-obsolete words",155,1,1,0
"counter-gird_v","non-obsolete words",413,1,1,0
"counter-hem_v","non-obsolete words",137,1,1,0
"counter-influence_v","non-obsolete words",357,1,1,2
"counter-irritate_v","non-obsolete words",160,1,1,1
"counter-judge_v","non-obsolete words",381,1,1,0
"counter-lock_v","non-obsolete words",381,1,1,0
"counter-manoeuvre_v","non-obsolete words",162,1,1,0
"counter-motion_v","non-obsolete words",185,1,1,0
"counter-move_v","non-obsolete words",134,1,1,3
"counter-order_v","non-obsolete words",381,1,1,2
"counter-petition_v","non-obsolete words",335,1,1,0
"counter-plan_v","non-obsolete words",141,1,1,0
"counter-please_v","non-obsolete words",413,1,1,0
"counter-post_v","non-obsolete words",370,1,1,0
"counter-pray_v","non-obsolete words",165,1,1,0
"counter-preach_v","non-obsolete words",401,1,1,0
"counter-query_v","non-obsolete words",371,1,1,0
"counter-question_v","non-obsolete words",160,1,1,2
"counter-refer_v","non-obsolete words",282,1,1,0
"counter-revolutionize_v","non-obsolete words",197,1,1,1
"counter-roll_v","non-obsolete words",174,1,1,2
"counter-ruin_v","non-obsolete words",371,1,1,0
"counter-run_v","non-obsolete words",298,1,1,2
"counter-secure_v","non-obsolete words",357,2,2,1
"counter-shine_v","non-obsolete words",378,1,1,0
"counter-state_v","non-obsolete words",363,1,1,0
"counter-strike_v","non-obsolete words",413,1,1,0
"counter-thwart_v","non-obsolete words",457,1,1,0
"counter-trench_v","non-obsolete words",413,1,1,0
"counter-tug_v","non-obsolete words",152,1,1,0
"counter-vote_v","non-obsolete words",383,1,1,0
"counter_v1","non-obsolete words",699,9,12,5
"counter_v3","non-obsolete words",181,1,1,3
"counter_v4","non-obsolete words",131,1,1,3
"counteract_v","non-obsolete words",330,3,4,5
"counterbalance_v","non-obsolete words",421,3,4,5
"counterbore_v","non-obsolete words",134,1,1,3
"counterbuff_v","non-obsolete words",445,1,1,1
"counterchange_v","non-obsolete words",426,5,6,3
"countercharge_v","non-obsolete words",413,4,5,3
"countercharm_v","non-obsolete words",440,1,1,1
"countercheck_v","non-obsolete words",437,2,3,3
"countercite_v","non-obsolete words",404,1,1,0
"counterclaim_v","non-obsolete words",143,1,1,3
"countercross_v","non-obsolete words",413,1,1,2
"counterfeit_v","non-obsolete words",734,18,30,4
"counterlath_v","non-obsolete words",298,1,1,0
"countermand_v","non-obsolete words",594,10,16,4
"countermarch_v","non-obsolete words",399,4,4,3
"countermark_v","non-obsolete words",413,1,1,3
"countermatch_v","non-obsolete words",437,2,3,1
"countermine_v","non-obsolete words",444,4,4,3
"countermure_v","non-obsolete words",432,2,2,1
"counterplot_v","non-obsolete words",429,2,2,3
"counterpoint_v2","non-obsolete words",149,3,3,3
"counterpoise_v","non-obsolete words",650,8,11,4
"counterpose_v","non-obsolete words",388,2,2,4
"counterprove_v","non-obsolete words",345,2,3,1
"counterpunch_v","non-obsolete words",60,1,1,2
"counterscarp_v","non-obsolete words",413,1,1,2
"countersect_v","non-obsolete words",168,1,1,1
"countershade_v","non-obsolete words",90,1,1,2
"countersign_v","non-obsolete words",362,3,4,4
"countersink_v","non-obsolete words",209,2,2,3
"counterslope_v","non-obsolete words",196,1,1,1
"counterstain_v","non-obsolete words",129,1,1,3
"countervail_v","non-obsolete words",644,9,14,5
"countervene_v","non-obsolete words",199,1,1,2
"counterweigh_v","non-obsolete words",594,3,3,2
"counterwork_v","non-obsolete words",428,3,4,2
"countess_v","non-obsolete words",233,1,1,2
"countrify_v","non-obsolete words",174,1,1,2
"country-dance_v","non-obsolete words",283,1,1,2
"county-court_v","non-obsolete words",189,1,1,3
"coup_v1","non-obsolete words",724,2,3,3
"coup_v2","non-obsolete words",724,2,3,3
"coup_v3","non-obsolete words",624,3,4,4
"coupee_v","non-obsolete words",334,1,1,2
"couple_v","non-obsolete words",799,18,23,6
"couplet_v","non-obsolete words",285,1,1,3
"courant_v","non-obsolete words",399,2,3,3
"courier_v","non-obsolete words",189,3,3,3
"course-correct_v","non-obsolete words",38,1,1,0
"course_v","non-obsolete words",524,18,28,5
"court-martial_v","non-obsolete words",229,1,1,4
"court_v","non-obsolete words",494,11,14,5
"courtesan_v","non-obsolete words",370,1,1,0
"cousin_v","non-obsolete words",366,2,2,3
"cove_v","non-obsolete words",393,3,4,3
"covenant_v","non-obsolete words",694,6,8,4
"coventrate_v","non-obsolete words",84,1,1,1
"cover-drive_v","non-obsolete words",64,1,1,1
"cover_v1","non-obsolete words",749,56,60,7
"covet_v","non-obsolete words",774,14,19,5
"cow-hunt_v","non-obsolete words",104,1,1,1
"cow-pen_v","non-obsolete words",330,1,1,2
"cow-skin_v","non-obsolete words",225,1,1,2
"cow_v1","non-obsolete words",408,3,3,4
"cow_v2","non-obsolete words",517,2,2,4
"cowage_v","non-obsolete words",184,1,1,1
"cowardize_v","non-obsolete words",376,2,2,2
"cowboy_v","non-obsolete words",136,3,3,3
"cower_v","non-obsolete words",724,4,4,4
"cowhide_v","non-obsolete words",230,1,1,1
"cowl_v1","non-obsolete words",488,2,2,3
"cowpunch_v","non-obsolete words",140,1,1,0
"cowther_v","non-obsolete words",425,1,1,0
"cox_v","non-obsolete words",104,1,1,2
"coxswain_v","non-obsolete words",151,1,1,2
"coy-duck_v","non-obsolete words",136,1,1,1
"coy_v1","non-obsolete words",611,8,15,3
"coze_v","non-obsolete words",216,2,3,2
"cozen_v","non-obsolete words",451,7,8,3
"crab-harrow_v","non-obsolete words",180,1,1,0
"crab-sidle_v","non-obsolete words",221,1,1,1
"crab_v1","non-obsolete words",263,3,6,3
"crab_v2","non-obsolete words",449,5,5,3
"crab_v3","non-obsolete words",399,5,7,3
"crack_v","non-obsolete words",724,44,50,6
"cracker_v","non-obsolete words",154,1,1,2
"crackle_v","non-obsolete words",524,6,9,5
"cradge_v","non-obsolete words",144,1,1,0
"cradle-snatch_v","non-obsolete words",86,1,1,0
"cradle_v","non-obsolete words",624,11,12,5
"craft_v","non-obsolete words",674,4,6,5
"crag_v1","non-obsolete words",253,1,1,3
"crake_v1","non-obsolete words",638,2,3,2
"cram-jam_v","non-obsolete words",144,1,1,1
"cram_v","non-obsolete words",699,15,15,5
"cramble_v","non-obsolete words",454,3,4,1
"cramp_v","non-obsolete words",470,13,18,5
"crample_v","non-obsolete words",199,1,1,1
"crane_v","non-obsolete words",454,6,6,4
"crank_v1","non-obsolete words",430,10,12,5
"crank_v2","non-obsolete words",197,1,1,2
"crankle_v","non-obsolete words",430,2,3,1
"cranny_v","non-obsolete words",599,2,3,3
"crap_v2","non-obsolete words",178,4,4,4
"crap_v3","non-obsolete words",133,1,1,3
"crape_v2","non-obsolete words",209,1,1,2
"crash-diet_v","non-obsolete words",66,1,1,0
"crash-dive_v","non-obsolete words",96,1,1,2
"crash-land_v","non-obsolete words",85,4,4,4
"crash-tackle_v","non-obsolete words",64,1,1,1
"crash_v","non-obsolete words",624,21,26,5
"crate_v","non-obsolete words",153,1,1,4
"crater_v","non-obsolete words",140,2,2,4
"craunch_v","non-obsolete words",392,2,2,2
"cravat_v","non-obsolete words",210,3,4,3
"crave_v","non-obsolete words",849,14,17,5
"craven_v","non-obsolete words",408,1,1,3
"craw-thump_v","non-obsolete words",222,1,1,0
"craw_v2","non-obsolete words",366,1,1,2
"crawfish_v","non-obsolete words",176,1,1,4
"crawk_v","non-obsolete words",179,1,1,1
"crawl_v1","non-obsolete words",624,13,14,5
"crayfish_v","non-obsolete words",124,1,1,2
"crayon_v","non-obsolete words",340,2,2,4
"crayonize_v","non-obsolete words",184,1,1,0
"craze_v","non-obsolete words",626,11,17,5
"crazy-pave_v","non-obsolete words",84,1,1,0
"crazy_v","non-obsolete words",443,2,3,0
"creagh_v","non-obsolete words",141,1,1,1
"creaght_v","non-obsolete words",414,1,1,1
"creak_v","non-obsolete words",699,6,7,5
"cream_v","non-obsolete words",584,14,14,4
"crease_v2","non-obsolete words",436,5,5,5
"create_v","non-obsolete words",619,10,10,7
"creaturize_v","non-obsolete words",372,1,1,0
"credence_v","non-obsolete words",495,1,1,2
