"word","stateWD","lifespan","nsense","nchange"
"affirm_v","non-obsolete words",699,13,15
"affirmative_v","non-obsolete words",249,1,1
"affix_v","non-obsolete words",576,13,14
"afflate_v","non-obsolete words",549,1,1
"afflict_v","non-obsolete words",631,5,7
"afforce_v","non-obsolete words",724,6,10
"afford_v","non-obsolete words",799,11,14
"afforest_v","non-obsolete words",521,2,2
"affranchise_v","non-obsolete words",547,1,1
"affray_v","non-obsolete words",694,6,11
"affreight_v","non-obsolete words",206,2,3
"affricate_v","non-obsolete words",368,2,3
"affright_v","non-obsolete words",1224,2,3
"affrighten_v","non-obsolete words",409,1,1
"affront_v","non-obsolete words",694,8,12
"affuse_v","non-obsolete words",375,2,2
"aflame_v","non-obsolete words",401,1,1
"africanize_v","non-obsolete words",208,1,1
"afrikanderize_v","non-obsolete words",124,1,1
"afrikanerize_v","non-obsolete words",79,1,1
"after-chrome_v","non-obsolete words",134,1,1
"aftercool_v","non-obsolete words",124,1,1
"afterload_v","non-obsolete words",143,2,2
"again-say_v","non-obsolete words",642,3,5
"agatize_v","non-obsolete words",386,1,1
"age_v","non-obsolete words",584,7,7
"age-date_v","non-obsolete words",57,1,1
"age-harden_v","non-obsolete words",103,1,1
"agent_v","non-obsolete words",387,1,1
"agglomerate_v","non-obsolete words",392,4,5
"agglutinate_v","non-obsolete words",438,6,7
"agglutinize_v","non-obsolete words",209,1,1
"aggrade_v","non-obsolete words",131,1,1
"aggrandize_v","non-obsolete words",390,5,6
"aggravate_v","non-obsolete words",494,11,17
"aggrave_v","non-obsolete words",549,1,1
"aggregate_v","non-obsolete words",599,7,7
"aggress_v","non-obsolete words",454,4,5
"aggrieve_v","non-obsolete words",699,3,5
"aggroup_v","non-obsolete words",329,1,1
"aghast_v","non-obsolete words",148,1,1
"agist_v","non-obsolete words",574,4,5
"agitate_v","non-obsolete words",437,9,11
"agive_v","non-obsolete words",355,2,3
"agname_v","non-obsolete words",372,1,1
"agnize_v","non-obsolete words",489,6,10
"ago_v","non-obsolete words",749,5,8
"agonize_v","non-obsolete words",454,4,4
"agrarianize_v","non-obsolete words",186,2,2
"agree_v","non-obsolete words",611,34,45
"ague_v","non-obsolete words",388,1,1
"ah_v","non-obsolete words",188,2,2
"ahem_v","non-obsolete words",185,1,1
"ahoy_int","non-obsolete words",276,3,3
"aid_v","non-obsolete words",574,3,3
"ail_v","non-obsolete words",699,10,11
"aim_v","non-obsolete words",649,18,22
"air_v","non-obsolete words",494,12,15
"airbrush_v","non-obsolete words",112,1,1
"air-burst_v","non-obsolete words",78,1,1
"air-condition_v","non-obsolete words",87,1,1
"air-cool_v","non-obsolete words",115,1,1
"air-cure_v","non-obsolete words",156,1,1
"airdash_v","non-obsolete words",56,1,1
"airdrop_v","non-obsolete words",76,1,1
"air-dry_v","non-obsolete words",150,1,1
"air-express_v","non-obsolete words",89,1,1
"air-freight_v","non-obsolete words",81,1,1
"air-guitar_v","non-obsolete words",41,2,2
"air-harden_v","non-obsolete words",94,1,1
"air-kiss_v","non-obsolete words",49,1,1
"airland_v","non-obsolete words",83,1,1
"air-layer_v","non-obsolete words",89,1,1
"airlift_v","non-obsolete words",76,1,1
"airmail_v","non-obsolete words",105,2,2
"air-mark_v","non-obsolete words",95,1,1
"air-seal_v","non-obsolete words",140,1,1
"air-season_v","non-obsolete words",107,1,1
"air-speed_v","non-obsolete words",65,1,1
"airt_v","non-obsolete words",242,2,2
"akele_v","non-obsolete words",644,3,5
"alacrify_v","non-obsolete words",160,1,1
"aladdinize_v","non-obsolete words",176,1,1
"alarm_v","non-obsolete words",539,12,16
"albify_v","non-obsolete words",425,1,1
"albitize_v","non-obsolete words",115,1,1
"albumenize_v","non-obsolete words",177,2,3
"alchemize_v","non-obsolete words",430,2,3
"alchemy_v","non-obsolete words",409,1,1
"alcoholize_v","non-obsolete words",354,3,5
"alembic_v","non-obsolete words",389,1,1
"alembicate_v","non-obsolete words",397,1,1
"alert_v","non-obsolete words",164,1,1
"alexander_v1","non-obsolete words",358,1,1
"al-fresco_v","non-obsolete words",202,1,1
"algebraicize_v","non-obsolete words",139,1,1
"algebraize_v","non-obsolete words",199,2,2
"alias_v","non-obsolete words",234,2,2
"alibi_v","non-obsolete words",200,4,5
"alien_v","non-obsolete words",674,4,6
"alienate_v","non-obsolete words",549,4,5
"alienize_v","non-obsolete words",431,1,1
"alight_v1","non-obsolete words",849,11,16
"alight_v2","non-obsolete words",1224,2,2
"alighten_v2","non-obsolete words",494,2,3
"align_v","non-obsolete words",599,9,11
"aliment_v","non-obsolete words",534,3,3
"aliquot_v","non-obsolete words",151,1,1
"alkali_v","non-obsolete words",175,2,3
"alkalify_v","non-obsolete words",234,2,2
"alkalinize_v","non-obsolete words",224,1,1
"alkalize_v","non-obsolete words",358,1,1
"alkylate_v","non-obsolete words",136,1,1
"allaborate_v","non-obsolete words",368,1,1
"allatectomize_v","non-obsolete words",81,1,1
"allay_v1","non-obsolete words",799,16,26
"allay_v4","non-obsolete words",549,1,1
"allegate_v","non-obsolete words",599,1,1
"allege_v1","non-obsolete words",724,10,14
"allegorize_v","non-obsolete words",568,3,3
"allegory_v","non-obsolete words",450,1,1
"allemande_v","non-obsolete words",254,3,3
"alleviate_v","non-obsolete words",549,3,4
"alleycat_v","non-obsolete words",87,1,1
"all-hail_v","non-obsolete words",426,1,1
"alliance_v","non-obsolete words",491,2,2
"allide_v","non-obsolete words",303,1,1
"alligate_v","non-obsolete words",462,3,3
"allineate_v","non-obsolete words",239,1,1
"alliterate_v","non-obsolete words",285,3,3
"allocate_v","non-obsolete words",473,6,9
"allocute_v","non-obsolete words",164,1,1
"allograft_v","non-obsolete words",59,1,1
"allot_v","non-obsolete words",551,9,10
"allotransplant_v","non-obsolete words",56,1,1
"allotropize_v","non-obsolete words",167,1,1
"allow_v","non-obsolete words",699,22,28
"allowance_v","non-obsolete words",249,2,2
"alloy_v","non-obsolete words",399,5,5
"allude_v","non-obsolete words",537,10,17
"allumine_v","non-obsolete words",454,1,1
"allure_v","non-obsolete words",574,6,8
"alluviate_v","non-obsolete words",193,1,1
"ally_v","non-obsolete words",699,6,8
"almanac_v","non-obsolete words",189,1,1
"alphabet_v","non-obsolete words",353,1,1
"alphabetize_v","non-obsolete words",333,2,2
"alpha-test_v","non-obsolete words",38,1,1
"alter_v","non-obsolete words",626,6,8
"alterate_v","non-obsolete words",599,1,1
"altercate_v","non-obsolete words",494,2,2
"altern_v","non-obsolete words",577,2,3
"alternate_v","non-obsolete words",429,7,8
"altruize_v","non-obsolete words",146,1,1
"alum_v","non-obsolete words",599,1,1
"aluminate_v","non-obsolete words",90,1,1
"aluminize_v1","non-obsolete words",233,1,1
"aluminize_v2","non-obsolete words",136,1,1
"amalgam_v","non-obsolete words",638,4,6
"amalgamate_v","non-obsolete words",364,5,5
"amanuense_v","non-obsolete words",136,2,2
"amass_v","non-obsolete words",547,5,5
"amaze_v","non-obsolete words",506,5,8
"amber_v","non-obsolete words",384,3,4
"ambition_v","non-obsolete words",423,3,4
"ambitionize_v","non-obsolete words",424,1,1
"amble_v","non-obsolete words",714,5,5
"ambulance_v","non-obsolete words",163,2,2
"ambulance-chase_v","non-obsolete words",94,1,1
"ambulate_v","non-obsolete words",426,1,1
"ambuscade_v","non-obsolete words",432,4,5
"ambuscado_v","non-obsolete words",386,3,5
"ambush_v","non-obsolete words",724,5,6
"ameliorate_v","non-obsolete words",371,3,3
"amen_v","non-obsolete words",212,3,4
"amend_v","non-obsolete words",799,20,26
"amenitize_v","non-obsolete words",98,1,1
"amerce_v","non-obsolete words",635,5,6
"amerciate_v","non-obsolete words",564,1,1
"americanize_v","non-obsolete words",338,5,6
"ammonify_v","non-obsolete words",113,1,1
"ammunition_v","non-obsolete words",381,1,1
"amnesty_v","non-obsolete words",222,1,1
"amok_v","non-obsolete words",213,1,1
"amorphize_v","non-obsolete words",192,1,1
"amortize_v","non-obsolete words",629,5,6
"amount_v","non-obsolete words",749,14,22
"amove_v2","non-obsolete words",599,2,3
"amp_v1","non-obsolete words",58,2,2
"amp_v2","non-obsolete words",32,1,1
"amphibolitize_v","non-obsolete words",63,1,1
"amphibolize_v","non-obsolete words",170,1,1
"amphitheatre_v","non-obsolete words",203,1,1
"amplify_v","non-obsolete words",624,12,15
"amplitude-modulate_v","non-obsolete words",86,1,1
"ampoule_v","non-obsolete words",78,1,1
"ampster_v","non-obsolete words",83,1,1
"amputate_v","non-obsolete words",386,2,2
"amscray_v","non-obsolete words",93,1,1
"amuse_v","non-obsolete words",544,13,19
"anabaptize_v","non-obsolete words",427,2,2
"anachronize_v","non-obsolete words",256,2,2
"anaesthetize_v","non-obsolete words",176,1,1
"anagram_v","non-obsolete words",402,2,2
"anagramize_v","non-obsolete words",388,1,1
"anagrammatize_v","non-obsolete words",431,1,1
"analogize_v","non-obsolete words",378,4,4
"analyse_v","non-obsolete words",437,10,10
"anamorphose_v","non-obsolete words",148,1,1
"anarchize_v","non-obsolete words",237,1,1
"anastomose_v","non-obsolete words",327,2,2
"anathemate_v","non-obsolete words",409,1,1
"anathematize_v","non-obsolete words",551,2,2
"anathemize_v","non-obsolete words",439,1,1
"anatomize_v","non-obsolete words",483,5,6
"anay_v","non-obsolete words",175,1,1
"ancestor_v","non-obsolete words",141,1,1
"anchor_v","non-obsolete words",799,10,10
"anchylose_v","non-obsolete words",237,2,2
"and_v","non-obsolete words",63,1,1
"androgenize_v","non-obsolete words",72,1,1
"anear_v","non-obsolete words",447,3,4
"anecdote_v","non-obsolete words",238,3,3
"anele_v","non-obsolete words",674,2,2
"angariate_v","non-obsolete words",415,1,1
"angel_v","non-obsolete words",120,2,2
"angelicize_v","non-obsolete words",199,2,2
"angelify_v","non-obsolete words",431,1,1
"angelize_v","non-obsolete words",431,2,3
"anger_v","non-obsolete words",849,7,9
"angle_v1","non-obsolete words",626,6,8
"angle_v2","non-obsolete words",574,6,7
"angle-park_v","non-obsolete words",87,2,2
"anglicanize_v","non-obsolete words",224,2,2
"anglicize_v","non-obsolete words",314,3,3
"anglify_v","non-obsolete words",399,1,1
"anglize_v","non-obsolete words",409,1,1
"anglo-saxonize_v","non-obsolete words",185,1,1
"angry_v","non-obsolete words",494,1,1
"angst_v","non-obsolete words",35,1,1
"anguish_v","non-obsolete words",684,5,7
"angularize_v","non-obsolete words",209,1,1
"angulate_v","non-obsolete words",360,2,2
"animadvert_v","non-obsolete words",549,5,7
"animalize_v","non-obsolete words",407,5,6
"animate_v","non-obsolete words",537,13,20
"aniseed_v","non-obsolete words",187,1,1
"ankle_v","non-obsolete words",131,4,4
"annal_v","non-obsolete words",418,1,1
"annalize_v","non-obsolete words",408,1,1
"anneal_v","non-obsolete words",642,8,11
"annect_v","non-obsolete words",574,5,9
"annex_v","non-obsolete words",629,12,14
"annihilate_v","non-obsolete words",499,13,14
"anniversary_v","non-obsolete words",183,3,3
"annotate_v","non-obsolete words",426,4,6
"annote_v","non-obsolete words",575,3,5
"announce_v","non-obsolete words",595,12,12
"annoy_v","non-obsolete words",749,13,22
"annualize_v","non-obsolete words",224,3,4
"annuitize_v","non-obsolete words",238,2,3
"annul_v","non-obsolete words",629,5,6
"annullate_v","non-obsolete words",454,1,1
"annunciate_v","non-obsolete words",491,2,2
"anodize_v","non-obsolete words",93,1,1
"anoint_v","non-obsolete words",667,12,13
"anonymize_v","non-obsolete words",166,1,1
"anschluss_v","non-obsolete words",86,1,1
"answer_v","non-obsolete words",824,79,85
"ant_v","non-obsolete words",80,1,1
"antagonize_v","non-obsolete words",390,9,10
"ante_v","non-obsolete words",194,2,2
"antecede_v","non-obsolete words",400,3,4
"antechamber_v","non-obsolete words",140,2,3
"antedate_v","non-obsolete words",456,6,9
"antepone_v","non-obsolete words",368,1,1
"antevert_v","non-obsolete words",441,2,3
"anthem_v","non-obsolete words",396,1,1
"anthemize_v","non-obsolete words",187,1,1
"anthologize_v","non-obsolete words",135,3,3
"anthropologize_v","non-obsolete words",151,2,2
"anthropomorphitize_v","non-obsolete words",214,1,1
"anthropomorphize_v","non-obsolete words",198,2,2
"anthropomorphose_v","non-obsolete words",364,2,3
"anthropophagize_v","non-obsolete words",431,1,1
"antic_v","non-obsolete words",435,2,3
"antichristianize_v","non-obsolete words",403,2,3
"anticipate_v","non-obsolete words",491,12,16
"antidote_v","non-obsolete words",404,2,2
"antipathize_v","non-obsolete words",406,2,2
"antipose_v","non-obsolete words",393,1,1
"antiquarianize_v","non-obsolete words",200,1,1
"antiquate_v","non-obsolete words",493,2,2
"antique_v","non-obsolete words",238,3,4
"antiseptize_v","non-obsolete words",146,1,1
"antistrophize_v","non-obsolete words",182,1,1
"antithesize_v","non-obsolete words",234,1,1
"anvil_v","non-obsolete words",428,2,3
"apathize_v","non-obsolete words",176,1,1
"apay_v","non-obsolete words",774,2,3
"ape_v","non-obsolete words",390,3,3
"apent_v","non-obsolete words",624,1,1
"apex_v","non-obsolete words",190,4,4
"aphetize_v","non-obsolete words",140,1,1
"aphorize_v","non-obsolete words",355,1,1
"apocopate_v","non-obsolete words",179,1,1
"apollonize_v","non-obsolete words",189,1,1
"apologize_v","non-obsolete words",415,2,3
"apophthegmatize_v","non-obsolete words",206,1,1
